code,state_code,country_code,name
011002,010006,JP,札幌市
011011,010006,JP,札幌市中央区
011029,010006,JP,札幌市北区
011037,010006,JP,札幌市東区
011045,010006,JP,札幌市白石区
011053,010006,JP,札幌市豊平区
011061,010006,JP,札幌市南区
011070,010006,JP,札幌市西区
011088,010006,JP,札幌市厚別区
011096,010006,JP,札幌市手稲区
011100,010006,JP,札幌市清田区
012025,010006,JP,函館市
012033,010006,JP,小樽市
012041,010006,JP,旭川市
012050,010006,JP,室蘭市
012068,010006,JP,釧路市
012076,010006,JP,帯広市
012084,010006,JP,北見市
012092,010006,JP,夕張市
012106,010006,JP,岩見沢市
012114,010006,JP,網走市
012122,010006,JP,留萌市
012131,010006,JP,苫小牧市
012149,010006,JP,稚内市
012157,010006,JP,美唄市
012165,010006,JP,芦別市
012173,010006,JP,江別市
012181,010006,JP,赤平市
012190,010006,JP,紋別市
012203,010006,JP,士別市
012211,010006,JP,名寄市
012220,010006,JP,三笠市
012238,010006,JP,根室市
012246,010006,JP,千歳市
012254,010006,JP,滝川市
012262,010006,JP,砂川市
012271,010006,JP,歌志内市
012289,010006,JP,深川市
012297,010006,JP,富良野市
012301,010006,JP,登別市
012319,010006,JP,恵庭市
012335,010006,JP,伊達市
012343,010006,JP,北広島市
012351,010006,JP,石狩市
012360,010006,JP,北斗市
013030,010006,JP,当別町
013048,010006,JP,新篠津村
013315,010006,JP,松前町
013323,010006,JP,福島町
013331,010006,JP,知内町
013340,010006,JP,木古内町
013374,010006,JP,七飯町
013439,010006,JP,鹿部町
013455,010006,JP,森町
013463,010006,JP,八雲町
013471,010006,JP,長万部町
013617,010006,JP,江差町
013625,010006,JP,上ノ国町
013633,010006,JP,厚沢部町
013641,010006,JP,乙部町
013676,010006,JP,奥尻町
013706,010006,JP,今金町
013714,010006,JP,せたな町
013919,010006,JP,島牧村
013927,010006,JP,寿都町
013935,010006,JP,黒松内町
013943,010006,JP,蘭越町
013951,010006,JP,ニセコ町
013960,010006,JP,真狩村
013978,010006,JP,留寿都村
013986,010006,JP,喜茂別町
013994,010006,JP,京極町
014001,010006,JP,倶知安町
014010,010006,JP,共和町
014028,010006,JP,岩内町
014036,010006,JP,泊村
014044,010006,JP,神恵内村
014052,010006,JP,積丹町
014061,010006,JP,古平町
014079,010006,JP,仁木町
014087,010006,JP,余市町
014095,010006,JP,赤井川村
014231,010006,JP,南幌町
014249,010006,JP,奈井江町
014257,010006,JP,上砂川町
014273,010006,JP,由仁町
014281,010006,JP,長沼町
014290,010006,JP,栗山町
014303,010006,JP,月形町
014311,010006,JP,浦臼町
014320,010006,JP,新十津川町
014338,010006,JP,妹背牛町
014346,010006,JP,秩父別町
014362,010006,JP,雨竜町
014371,010006,JP,北竜町
014389,010006,JP,沼田町
014524,010006,JP,鷹栖町
014532,010006,JP,東神楽町
014541,010006,JP,当麻町
014559,010006,JP,比布町
014567,010006,JP,愛別町
014575,010006,JP,上川町
014583,010006,JP,東川町
014591,010006,JP,美瑛町
014605,010006,JP,上富良野町
